Player,Nation,Squad,Stage_Label,Stage_Num,Profile_Class,Profile_Label,classification_certainty,npxG_per90,xAG_per90,prog_carries_per90,pass_completion_pct,aerials_contested_per90,pressures_per90,z_npxG_per90,z_xAG_per90,z_prog_carries_per90,z_pressures_per90,z_pass_completion_pct,z_aerials_contested_per90,min_per90_sum,data_source,data_note,tournament
Loïs Openda,BEL,Belgium,Quarterfinal,5,3,Pressing Engines,0.9996453705874017,0.30036630036630035,0.12454212454212453,2.1245421245421245,63.7901861252115,1.346153846153846,0,2.737112971537162,1.2681119063065616,0.03634305166204144,-1.5052607563762768,-1.478029094807308,0.4057201995199074,27.3,big5_club_2024-25,FBref WC group-stage blocked by Cloudflare; club stats used as proxy,FIFA_WC_2026
Mandela Keita,BEL,Belgium,Quarterfinal,5,5,Balanced Contributors,0.9993786261691038,0.0049261083743842365,0.04926108374384236,0.6403940886699507,90.53497942386831,0,0,-0.5984534436154104,0.1395491025926149,-0.6412970594479436,-1.5052607563762768,1.0590801320784935,-1.005437597194577,20.3,big5_club_2024-25,FBref WC group-stage blocked by Cloudflare; club stats used as proxy,FIFA_WC_2026
Leandro Trossard,BEL,Belgium,Quarterfinal,5,3,Pressing Engines,0.9979077538864948,0.254416961130742,0.215547703180212,2.8268551236749118,74.52830188679245,1.0526315789473684,2.368421052631579,2.2183376765469176,2.632406420467339,0.3570088122622988,-1.005808363196073,-0.4593720323336514,0.09802413858216272,28.3,big5_club_2024-25,FBref WC group-stage blocked by Cloudflare; club stats used as proxy,FIFA_WC_2026
Dodi Lukebakio,BEL,Belgium,Quarterfinal,5,3,Pressing Engines,0.9974443664682195,0.27034883720930236,0.1308139534883721,3.808139534883721,74.1444866920152,0.8219178082191781,0.8219178082191781,2.398211072985384,1.362134953609502,0.8050488065013269,-1.3319348117110008,-0.4957821500419538,-0.14383048843739654,34.4,big5_club_2024-25,FBref WC group-stage blocked by Cloudflare; club stats used as proxy,FIFA_WC_2026
Joël Schingtienne,BEL,Belgium,Quarterfinal,5,5,Balanced Contributors,0.98938707885553,0,0.008,0.4,86.242299794661193,1,5,-0.6540699849539954,-0.479009353300695,-0.7510574559981157,-0.45086125966251345,0.6518607913377645,0.04285105179332579,12.5,big5_club_2024-25,FBref WC group-stage blocked by Cloudflare; club stats used as proxy,FIFA_WC_2026
Sebastiaan Bornauw,BEL,Belgium,Quarterfinal,5,3,Pressing Engines,0.9868297219907448,0.13636363636363635,0.056818181818181816,0.3409090909090909,81.81818181818183,5.833333333333333,2.1666666666666665,0.8854970002822893,0.25284004145689826,-0.778037493860998,-1.0483543078003126,0.2321727266885282,5.109579521901522,8.8,big5_club_2024-25,FBref WC group-stage blocked by Cloudflare; club stats used as proxy,FIFA_WC_2026
Orel Mangala,BEL,Belgium,Quarterfinal,5,5,Balanced Contributors,0.9856254008540974,0.08163265306122451,0.04081632653061225,0.4761904761904762,89.272030651341,0.8571428571428571,4.571428571428571,0.2675755572282706,0.012950974083955588,-0.7162700079111758,-0.5412383593808361,0.9392721773831001,-0.10690446949066038,14.7,big5_club_2024-25,FBref WC group-stage blocked by Cloudflare; club stats used as proxy,FIFA_WC_2026
Senne Lynen,BEL,Belgium,Quarterfinal,5,5,Balanced Contributors,0.9848475113641438,0.03618421052631579,0.019736842105263157,0.2960526315789474,82.88084464555054,0.625,3.125,-0.24554453492419173,-0.3030584991067936,-0.7985182918338337,-0.8462610709301747,0.3329808217176686,-0.35025719157713775,30.4,big5_club_2024-25,FBref WC group-stage blocked by Cloudflare; club stats used as proxy,FIFA_WC_2026
Wout Faes,BEL,Belgium,Quarterfinal,5,5,Balanced Contributors,0.9728529962822373,0.04792332268370607,0.0031948881789137383,0.38338658146964855,87.97953964194375,3.2857142857142856,1.5714285714285714,-0.11300810515849596,-0.5510443625335627,-0.7586428979531752,-1.1738780574090941,0.816661737698999,2.4389393923371037,31.3,big5_club_2024-25,FBref WC group-stage blocked by Cloudflare; club stats used as proxy,FIFA_WC_2026
Albert Sambi Lokonga,BEL,Belgium,Quarterfinal,5,5,Balanced Contributors,0.9716133615470635,0.05521472392638037,0.06134969325153374,1.4723926380368098,89.37360178970917,2.1052631578947367,1.5789473684210527,-0.030687033876726687,0.32077341743118676,-0.2614187886762649,-1.172292494256141,0.9489075882633228,1.2014858743589023,16.3,big5_club_2024-25,FBref WC group-stage blocked by Cloudflare; club stats used as proxy,FIFA_WC_2026
